Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
GDLC,GRAYSCALE DIGITAL LG CAP,OTCQX U.S.,22.890000,-0.478300,50679,Fund,USA,Connecticut
BOID,BANK IDAHO HLDG CO,OTCQX U.S.,33.000000,0.304000,120,Common Stock,USA,Idaho
INBC,INBANKSHARES CORPORATION,OTCQX U.S.,9.600000,,0,Common Stock,USA,Colorado
GNRS,GREENROSE ACQ CORP,OTCQX U.S.,3.940000,2.337700,15308,Common Stock,USA,New York
DCSX,DIRECT COMM SOLUTIONS,OTCQX U.S.,0.378000,-8.879900,3000,Foreign Ordinary Shares,USA,California
BCHG,GRAYSCALE BITCOIN CASH TR,OTCQX U.S.,1.800000,-3.225800,69930,Common Stock,USA,Connecticut
BITW,BITWISE 10 CRYPTO IDX UT,OTCQX U.S.,32.070000,-0.773500,51654,Units,USA,California
LTCN,GRAYSCALE LITECOIN TR LTC,OTCQX U.S.,6.290000,5.714300,209383,Common Stock,USA,Connecticut
BBXIA,BBX CAPITAL INC A,OTCQX U.S.,11.540000,0.347800,50479,Common Stock,USA,Florida
OBTC,OSPREY BITCOIN TR UBI,OTCQX U.S.,11.430000,-1.805000,8966,Units,USA,New York
AAWH,ASCEND WELLNESS HOLDNGS A,OTCQX U.S.,4.020000,-0.248100,34165,Foreign Ordinary Shares,USA,New York
MSTH,MYSTIC HOLDINGS INC,OTCQX U.S.,0.000000,,0,Common Stock,USA,Nevada
NLCP,NEWLAKE CAP PARTNERS INC,OTCQX U.S.,23.790000,-2.098800,11411,Common Stock,USA,Connecticut
GXLM,GRAYSCALE STELLAR LUMENS,OTCQX U.S.,17.650000,-0.510100,1902,Common Stock,USA,Connecticut
HZEN,GRAYSCALE HORIZEN TR ZEN,OTCQX U.S.,3.340000,9.868400,21522,Common Stock,USA,Connecticut
AWCMF,ALUMINA LTD,OTCQX International Premier,1.470000,,0,Foreign Ordinary Shares,Australia,Victoria
AWCMY,ALUMINA LTD S/ADR,OTCQX International Premier,6.150000,4.060900,26896,ADRs,Australia,Victoria
FSUGY,FORTESCUE METAL GRP S/ADR,OTCQX International Premier,27.585000,8.007000,99030,ADRs,Australia,Western Australia
FSUMF,FORTESCUE METAL GROUP LTD,OTCQX International Premier,13.790000,6.363300,10437,Foreign Ordinary Shares,Australia,Western Australia
PBTHF,POINTSBET HOLDINGS LTD,OTCQX International Premier,2.810000,-5.862600,163961,Foreign Ordinary Shares,Australia,Victoria
SLVYY,SOLVAY SA UNSP/ADR,OTCQX International Premier,10.350000,-1.988600,3969,ADRs,Belgium,
SVYSF,SOLVAY SA ACT,OTCQX International Premier,108.320000,,0,Foreign Ordinary Shares,Belgium,
LZRFY,LOCALIZA RENT A CAR S/ADR,OTCQX International Premier,10.864000,-10.140600,8148,ADRs,Brazil,
JBSAY,JBS S A S/ADR,OTCQX International Premier,14.500000,4.693100,214550,ADRs,Brazil,
BDRAF,BOMBARDIER INC A,OTCQX International Premier,1.269500,1.560000,23786,Foreign Ordinary Shares,Canada,Quebec
BDRBF,BOMBARDIER INC B,OTCQX International Premier,1.190000,2.586200,418705,Foreign Ordinary Shares,Canada,Quebec
ACDVF,AIR CANADA INC VTG & VAR,OTCQX International Premier,18.870000,5.360100,67662,Foreign Ordinary Shares,Canada,Quebec
ARESF,ARTIS RL EST I/T TR UT,OTCQX International Premier,10.200000,,1,Units,Canada,Manitoba
IVPAF,IVANHOE MINES LTD A,OTCQX International Premier,9.970000,2.256400,69388,Foreign Ordinary Shares,Canada,British Columbia
YZCAY,YANKUANG ENERGY GP S/ADR,OTCQX International Premier,27.050000,5.519800,3564,ADRs,China,
CIBEY,COMML INTL BK S/ADR,OTCQX International Premier,2.870000,0.701800,295891,ADRs,Egypt,
CMGGF,COMML INTL BK LTD S/GDR,OTCQX International Premier,2.950000,,0,New York Registry Shs,Egypt,
DANOY,DANONE S/ADR,OTCQX International Premier,11.731500,-1.828500,363282,ADRs,France,
GPDNF,GROUPE DANONE,OTCQX International Premier,58.009900,-2.886300,200,Foreign Ordinary Shares,France,
AXAHF,AXA SA ORD,OTCQX International Premier,25.790000,-3.588800,1635,Foreign Ordinary Shares,France,
AXAHY,AXA S/ADR,OTCQX International Premier,25.970000,1.011300,212281,ADRs,France,
BNPQF,BNP PARIBAS ORD,OTCQX International Premier,55.987000,0.066300,1034,Foreign Ordinary Shares,France,
BNPQY,BNP PARIBAS SPONS ADR,OTCQX International Premier,27.920000,3.254400,760026,ADRs,France,
PGPEF,PUBLICIS GROUPE ACT,OTCQX International Premier,66.790000,,59,Foreign Ordinary Shares,France,
PUBGY,PUBLICIS GROUP SA S/ADR,OTCQX International Premier,15.750000,-2.052200,60746,ADRs,France,
BASFY,BASF SE S/ADR,OTCQX International Premier,15.890000,2.681700,1355156,ADRs,Germany,
BFFAF,BASF SE ORD,OTCQX International Premier,61.500000,,41,Foreign Ordinary Shares,Germany,
DTEGF,DEUTSCHE TELEKOM AG REG,OTCQX International Premier,17.660000,-1.888900,1236,Foreign Ordinary Shares,Germany,
DTEGY,DEUTSCHE TELEKOM AG S/ADR,OTCQX International Premier,17.930000,3.342900,303157,ADRs,Germany,
DLAKF,DEUTSCHE LUFTHANSA AG REG,OTCQX International Premier,7.350000,2.797200,1356,Foreign Ordinary Shares,Germany,
DLAKY,DEUTSCHE LUFTHANSA S/ADR,OTCQX International Premier,7.372000,5.104100,71049,ADRs,Germany,
ADDDF,ADIDAS AG ORD,OTCQX International Premier,234.300000,3.352400,538,Foreign Ordinary Shares,Germany,
ADDYY,ADIDAS AG S/ADR,OTCQX International Premier,114.441500,0.838400,102654,ADRs,Germany,
IFNNF,INFINEON TECHS AG,OTCQX International Premier,33.168700,4.271300,1594,Foreign Ordinary Shares,Germany,
IFNNY,INFINEON TECHS AG S/ADR,OTCQX International Premier,33.225000,2.768300,202170,ADRs,Germany,
BOSSY,HUGO BOSS AG S/ADR,OTCQX International Premier,11.110000,-2.799700,4331,ADRs,Germany,
KPLUF,K PLUS S AG ORD,OTCQX International Premier,25.396000,3.446000,50,Foreign Ordinary Shares,Germany,
KPLUY,K PLUS S AG S/ADR,OTCQX International Premier,12.585000,2.567200,671,ADRs,Germany,
STWRY,SOFTWARE AG S/ADR,OTCQX International Premier,9.690000,,0,ADRs,Germany,
SWDAF,SOFTWARE AG,OTCQX International Premier,35.540000,,0,Foreign Ordinary Shares,Germany,
EXPGF,EXPERIAN PLC ORD,OTCQX International Premier,39.890000,4.205900,241,Foreign Ordinary Shares,Ireland,
EXPGY,EXPERIAN PLC S/ADR,OTCQX International Premier,39.845500,3.521700,132755,ADRs,Ireland,
WMMVY,WAL-MART DE MEX V S/ADR,OTCQX International Premier,35.940000,-3.231000,19166,ADRs,Mexico,
GBOOF,GRUPO FIN BANORTE  ORD,OTCQX International Premier,6.450000,-4.444400,1162,Foreign Ordinary Shares,Mexico,
GBOOY,GRUPO FINC BANORTE S/ADR,OTCQX International Premier,31.550000,-5.055700,184577,ADRs,Mexico,
NHYDY,NORSK HYDRO A S ADS,OTCQX International Premier,9.985000,4.367000,422737,ADRs,Norway,
NHYKF,NORSK HYDRO AS ORD,OTCQX International Premier,9.500000,,0,Foreign Ordinary Shares,Norway,
ROSYY,PJSC ROSTELECOM S/ADR,OTCQX International Premier,3.500000,-23.913000,1970,ADRs,Russia,
RSHYY,RUSHYDRO PJSC S/ADR,OTCQX International Premier,0.560000,-17.647100,12612,ADRs,Russia,
IMPUY,IMPALA PLATINUM HLDGS ADR,OTCQX International Premier,19.090000,3.245000,190223,ADRs,South Africa,
REPYF,REPSOL YPF SA ORD,OTCQX International Premier,13.500000,1.199400,4000,Foreign Ordinary Shares,Spain,
REPYY,REPSOL SA SP/ADR,OTCQX International Premier,13.750000,4.166700,132226,ADRs,Spain,
RHHBF,ROCHE HOLDING LTD ORD,OTCQX International Premier,412.880000,-3.842800,51,Foreign Ordinary Shares,Switzerland,
RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX International Premier,47.020000,-0.822600,1098214,ADRs,Switzerland,
RHHVF,ROCHE HOLDING DIV RTS,OTCQX International Premier,373.580000,-2.321800,20184,Rights,Switzerland,
ZFSVF,ZURICH INS GROUP ORD,OTCQX International Premier,450.100000,2.884700,189,Foreign Ordinary Shares,Switzerland,
ZURVY,ZURICH INS GROUP S/ADR,OTCQX International Premier,44.550000,-0.491400,85413,ADRs,Switzerland,
ADRNY,KONINKLIJKE AD N.V. S/ADR,OTCQX International Premier,29.930000,-0.299800,114107,ADRs,The Netherlands,
AHODF,KONINKLIJKE AHOLD DEL ORD,OTCQX International Premier,30.590000,,0,Foreign Ordinary Shares,The Netherlands,
HEINY,HEINEKEN N V S/ADR,OTCQX International Premier,48.770000,-0.428700,90428,ADRs,The Netherlands,
HINKF,HEINEKEN N V REG,OTCQX International Premier,98.982500,,69,Foreign Ordinary Shares,The Netherlands,
KDSKF,KONINKLIJKE DSM NV,OTCQX International Premier,179.105000,-6.545800,27,Foreign Ordinary Shares,The Netherlands,
RDSMY,ROYAL DSM NV S/ADR,OTCQX International Premier,45.620000,-0.847600,41123,ADRs,The Netherlands,
AKZOF,AKZO NOBEL NV ORD NEW,OTCQX International Premier,95.250000,,46,Foreign Ordinary Shares,The Netherlands,
AKZOY,AKZO NOBEL N V S/ADR,OTCQX International Premier,30.410000,-0.962700,131634,ADRs,The Netherlands,
ASMIY,ASM INTL NV NY REG SHS,OTCQX International Premier,310.610000,0.886700,3567,ETFs,The Netherlands,
HKHHF,HEINEKEN HOLDING NV ORD,OTCQX International Premier,79.240000,1.785500,825,Foreign Ordinary Shares,The Netherlands,
HKHHY,HEINEKEN HOLDING NV S/ADR,OTCQX International Premier,39.500000,0.355700,48664,ADRs,The Netherlands,
TKGBF,TURKIYE GARANTI BK,OTCQX International Premier,0.890000,,0,Foreign Ordinary Shares,Turkey,
TKGBY,TURKIYE GARANTI BNK S/ADR,OTCQX International Premier,0.820000,0.000000,5463,ADRs,Turkey,
AKBTY,AKBANK T/A/S S/ADR,OTCQX International Premier,0.999000,2.989700,7750,ADRs,Turkey,
